Syllable,Vruta ID,Number of Syllables in Verse,Syllable Position in Verse,Ganam Position in Verse,Syllable Position in Ganam,Previous Syllable Origin,Next Syllable Origin,Current Syllable Origin,Previous Syllable Matra,Next syllable Matra,Current Syllable Matra,Previous Syllable Joint,Next Syllable Joint,Current Syllable Joint,Number of Syllables in Ganam,Yati,Yati Position,Distance from Yati,Total Matra in Ganam,Total Matra in Verse,Duration
thaar,2,12,1,1,1,0,40,30,0,1,2,0,0,0,3,0,6,-5,5,19,0.449402
ma,2,12,2,1,2,30,15,40,2,2,1,0,0,0,3,0,6,-4,5,19,0.277572
kal,2,12,3,1,3,40,15,15,1,2,2,0,1,0,3,0,6,-3,5,19,0.484649
kkan,2,12,4,2,1,15,36,15,2,2,2,0,0,1,3,0,6,-2,5,19,0.414155
pu,2,12,5,2,2,15,44,36,2,1,2,1,1,0,3,0,6,-1,5,19,0.345197
lla,2,12,6,2,3,36,30,44,2,2,1,0,0,1,3,1,6,0,5,19,0.444996
tha,2,12,7,3,1,44,30,30,1,2,2,1,1,0,3,0,6,1,5,19,0.348066
tthee,2,12,8,3,2,30,47,30,2,1,2,0,0,1,3,0,6,2,5,19,0.489055
va,2,12,9,3,3,30,42,47,2,1,1,1,0,0,3,0,6,3,5,19,0.259824
ri,2,12,10,4,1,47,15,42,1,1,1,0,0,0,3,0,6,4,4,19,0.449402
ke,2,12,11,4,2,42,25,15,1,2,1,0,0,0,3,0,6,5,4,19,0.225674
doo,2,12,12,4,3,15,30,25,1,2,2,0,0,0,3,0,6,6,4,19,0.485252
thaa,2,12,1,1,1,25,40,30,2,1,2,0,0,0,3,0,6,-5,4,18,0.355698
ma,2,12,2,1,2,30,50,40,2,1,1,0,0,0,3,0,6,-4,4,18,0.209107
sa,2,12,3,1,3,40,48,50,1,2,1,0,0,0,3,0,6,-3,4,18,0.446464
shii,2,12,4,2,1,50,44,48,1,1,2,0,0,0,3,0,6,-2,4,18,0.594867
la,2,12,5,2,2,48,40,44,2,1,1,0,0,0,3,0,6,-1,4,18,0.433883
ma,2,12,6,2,3,44,15,40,1,2,1,0,0,0,3,1,6,0,4,18,0.268846
ka,2,12,7,3,1,40,30,15,1,2,2,0,1,0,3,0,6,1,5,18,0.27378
ttee,2,12,8,3,2,15,34,30,2,1,2,0,0,1,3,0,6,2,5,18,0.592363
na,2,12,9,3,3,30,40,34,2,2,1,1,0,0,3,0,6,3,5,18,0.22015
maa,2,12,10,4,1,34,48,40,1,1,2,0,0,0,3,0,6,4,5,18,0.331985
shu,2,12,11,4,2,40,34,48,2,2,1,0,0,0,3,0,6,5,5,18,0.375708
nii,2,12,12,4,3,48,42,34,1,2,2,0,0,0,3,0,6,6,5,18,0.606267
raa,2,12,1,1,1,34,40,42,2,1,2,0,0,0,3,0,6,-5,5,18,0.468112
ma,2,12,2,1,2,42,25,40,2,2,1,0,0,0,3,0,6,-4,5,18,0.25577
dee,2,12,3,1,3,40,47,25,1,2,2,0,0,0,3,0,6,-3,5,18,0.395587
van,2,12,4,2,1,25,20,47,2,1,2,0,0,0,3,0,6,-2,4,18,0.454458
cha,2,12,5,2,2,47,42,20,2,1,1,0,0,0,3,0,6,-1,4,18,0.268579
